Gemeindeschlüsselnummer;Gemeindename;€/m²
34570021021;Weener, Stadt;5,92
34570022022;Westoverledingen;5,53
34570024024;Bunde;5,87
34575402003;Brinkum;5,85
34575402009;Firrel;5,5
34575402010;Hesel;5,79
34575402011;Holtland;5,47
34575402015;Neukamperfehn;5,38
34575402019;Schwerinsdorf;5,08
34575403006;Detern, Flecken;5,83
34575403008;Filsum;4,96
34575403016;Nortmoor;5,55
34580003003;Dötlingen;5,81
34580005005;Ganderkesee;6,87
34580007007;Großenkneten;5,92
34580009009;Hatten;6,45
34580010010;Hude (Oldb);6,29
34580013013;Wardenburg;6,31
34580014014;Wildeshausen, Stadt;6,42
34585401001;Beckeln;4,9
34585401002;Colnrade;4,79
34585401004;Dünsen;5,89
34585401006;Groß Ippener;5,28
34585401008;Harpstedt, Flecken;5,77
34585401011;Kirchseelte;5,72
34585401012;Prinzhöfte;4,88
34585401015;Winkelsett;4,49
34590003003;Bad Essen;5,75
34590004004;Bad Iburg, Stadt;6,15
34590005005;Bad Laer;5,65
34590006006;Bad Rothenfelde;7,06
34590008008;Belm;5,75
34590012012;Bissendorf;5,55
34590013013;Bohmte;5,38
34590014014;Bramsche, Stadt;5,62
34590015015;Dissen am Teutoburger Wald, Stadt;6,05
34590019019;Georgsmarienhütte, Stadt;5,76
34590020020;Hagen am Teutoburger Wald;5,47
34590021021;Hasbergen;5,88
34590022022;Hilter am Teutoburger Wald;5,81
34590024024;Melle, Stadt;5,69
34590029029;Ostercappeln;5,47
34590033033;Wallenhorst;5,89
34590034034;Glandorf;5,43
34595401007;Badbergen;5,27
34595401025;Menslage;5,06
34595401028;Nortrup;4,95
34595401030;Quakenbrück, Stadt;5,9
34595402001;Alfhausen;5,23
34595402002;Ankum;5,62
34595402010;Bersenbrück, Stadt;5,7
34595402016;Eggermühlen;4,81
34595402018;Gehrde;4,96
34595402023;Kettenkamp;4,94
34595402031;Rieste;5,63
34595403009;Berge (Landkreis Osnabrück);4,78
34595403011;Bippen;4,38
34595403017;Fürstenau, Stadt;4,87
34595404026;Merzen;4,54
34595404027;Neuenkirchen (Landkreis Osnabrück);4,98
34595404032;Voltlage;4,7
34600001001;Bakum;5,5
34600002002;Damme, Stadt;5,89
34600003003;Dinklage, Stadt;5,89
34600004004;Goldenstedt;5,88
34600005005;Holdorf (Landkreis Vechta);5,81
34600006006;Lohne (Oldenburg), Stadt;6,27
34600007007;Neuenkirchen-Vörden;5,69
34600008008;Steinfeld (Oldenburg);5,6
34600009009;Vechta, Stadt;7,23
34600010010;Visbek;6,56
34610001001;Berne;5,29
34610002002;Brake (Unterweser), Stadt;5,04
34610003003;Butjadingen;5,3
34610004004;Elsfleth, Stadt;5,25
34610005005;Jade;5,5
34610006006;Lemwerder;5,95
34610007007;Nordenham, Stadt;5,32
34610008008;Ovelgönne;5,42
34610009009;Stadland;4,71
34620005005;Friedeburg;5,24
34620007007;Langeoog;10,75
34620014014;Spiekeroog;10,55
34620019019;Wittmund, Stadt;6,09
34625401002;Dunum;4,95
34625401003;Esens, Stadt;6,48
34625401006;Holtgast;5,63
34625401008;Moorweg;5,31
34625401010;Neuharlingersiel;7,43
34625401015;Stedesdorf;5,29
34625401017;Werdum;5,87
34625402001;Blomberg;5,81
34625402004;Eversmeer;5,6
34625402009;Nenndorf;6,15
34625402011;Neuschoo;5,52
34625402012;Ochtersum;6,08
34625402013;Schweindorf;5,41
34625402016;Utarp;5,59
34625402018;Westerholt;5,61
40110000000;Bremen, Stadt;7,75
40120000000;Bremerhaven, Stadt;5,58
51110000000;Düsseldorf, Stadt;9,24
51120000000;Duisburg, Stadt;5,84
51130000000;Essen, Stadt;6,72
51140000000;Krefeld, Stadt;6,66
51160000000;Mönchengladbach, Stadt;6,41
51170000000;Mülheim an der Ruhr, Stadt;6,5
51190000000;Oberhausen, Stadt;5,73
51200000000;Remscheid, Stadt;5,78
51220000000;Solingen, Klingenstadt;6,38
51240000000;Wuppertal, Stadt;6,1
51540004004;Bedburg-Hau;6,47
51540008008;Emmerich am Rhein, Stadt;5,96
51540012012;Geldern, Stadt;6,29
51540016016;Goch, Stadt;6,13
51540020020;Issum;6,33
51540024024;Kalkar, Stadt;5,94
51540028028;Kerken;6,34
51540032032;Kevelaer, Stadt;6,42
51540036036;Kleve, Stadt;6,62
51540040040;Kranenburg (Kreis Kleve);6,5
51540044044;Rees, Stadt;6,04
51540048048;Rheurdt;6,29
51540052052;Straelen, Stadt;6,3
51540056056;Uedem;5,94
51540060060;Wachtendonk;6,5
51540064064;Weeze;6,23
51580004004;Erkrath, Fundort des Neanderthalers, Stadt;7
51580008008;Haan, Stadt;7,34
51580012012;Heiligenhaus, Stadt;6,47
51580016016;Hilden, Stadt;7,79
51580020020;Langenfeld (Rheinland), Stadt;7,76
51580024024;Mettmann, Stadt;7,11
51580026026;Monheim am Rhein, Stadt;7,97
51580028028;Ratingen, Stadt;7,78
51580032032;Velbert, Stadt;6,08
51580036036;Wülfrath, Stadt;6,36
51620004004;Dormagen, Stadt;7,35
51620008008;Grevenbroich, Stadt;6,73
51620012012;Jüchen, Stadt;6,41
51620016016;Kaarst, Stadt;8
51620020020;Korschenbroich, Stadt;7,22
51620022022;Meerbusch, Stadt;8,52
51620024024;Neuss, Stadt;7,35
51620028028;Rommerskirchen;7,03
51660004004;Brüggen, Burggemeinde;6,35
51660008008;Grefrath, Sport- und Freizeitgemeinde;6,2
51660012012;Kempen, Stadt;7,01
51660016016;Nettetal, Stadt;6,01
51660020020;Niederkrüchten;6,13
51660024024;Schwalmtal (Kreis Viersen);6,08
51660028028;Tönisvorst, Stadt;6,96
51660032032;Viersen, Stadt;6,11
51660036036;Willich, Stadt;6,93
51700004004;Alpen;6,1
51700008008;Dinslaken, Stadt;6,3
51700012012;Hamminkeln, Stadt;6,19
51700016016;Hünxe;5,99
51700020020;Kamp-Lintfort, Stadt;6,05
51700024024;Moers, Stadt;6,26
51700028028;Neukirchen-Vluyn, Stadt;6,39
51700032032;Rheinberg, Stadt;6
51700036036;Schermbeck;6,18
51700040040;Sonsbeck;6,46
51700044044;Voerde (Niederrhein), Stadt;5,61
51700048048;Wesel, Stadt;5,98
51700052052;Xanten, Stadt;6,72
53140000000;Bonn, Stadt;9,09
53150000000;Köln, Stadt;9,39
53160000000;Leverkusen, Stadt;7,03
53340002002;Aachen, Stadt;8,04
53340004004;Alsdorf, Stadt;5,82
53340008008;Baesweiler, Stadt;5,82
53340012012;Eschweiler, Stadt;5,98
53340016016;Herzogenrath, Stadt;6,24
53340020020;Monschau, Stadt;5,77
53340024024;Roetgen, Tor zur Eifel;6,56
53340028028;Simmerath;5,84
53340032032;Stolberg (Rhld.), Kupferstadt;5,9
53340036036;Würselen, Stadt;6,65
53580004004;Aldenhoven;5,81
53580008008;Düren, Stadt;6,25
53580012012;Heimbach, Stadt;5,46
53580016016;Hürtgenwald;5,28
53580020020;Inden;5,83
53580024024;Jülich, Stadt;6,12
53580028028;Kreuzau;6,04
53580032032;Langerwehe;6,21
53580036036;Linnich, Stadt;5,6
53580040040;Merzenich;6,32
53580044044;Nideggen, Stadt;6,29
53580048048;Niederzier;5,94
53580052052;Nörvenich;5,92
53580056056;Titz;5,74
53580060060;Vettweiß;5,88
53620004004;Bedburg, Stadt;6,51
53620008008;Bergheim, Stadt;6,63
53620012012;Brühl, Stadt;8,47
53620016016;Elsdorf, Stadt;6,35
53620020020;Erftstadt, Stadt;7,39
53620024024;Frechen, Stadt;7,83
53620028028;Hürth, Stadt;8,51
53620032032;Kerpen, Kolpingstadt;7,24
53620036036;Pulheim, Stadt;8,31
53620040040;Wesseling, Stadt;7,71
53660004004;Bad Münstereifel, Stadt;5,94
53660008008;Blankenheim (Kreis Euskirchen);5,01
53660012012;Dahlem (Kreis Euskirchen);5,25
53660016016;Euskirchen, Stadt;6,51
53660020020;Hellenthal;5,05
53660024024;Kall;5,75
53660028028;Mechernich, Stadt;5,89
53660032032;Nettersheim;5,38
53660036036;Schleiden, Stadt;5,39
53660040040;Weilerswist;6,62
53660044044;Zülpich, Stadt;5,97
53700004004;Erkelenz, Stadt;6,34
53700008008;Gangelt;6,33
53700012012;Geilenkirchen, Stadt;5,98
53700016016;Heinsberg, Stadt;6,13
53700020020;Hückelhoven, Stadt;5,98
53700024024;Selfkant;6,22
53700028028;Übach-Palenberg, Stadt;5,77
53700032032;Waldfeucht;5,82
53700036036;Wassenberg, Stadt;6,17
53700040040;Wegberg, Stadt;6,03
53740004004;Bergneustadt, Stadt;5,6
53740008008;Engelskirchen;6,1
53740012012;Gummersbach, Stadt;5,93
53740016016;Hückeswagen, Schloss-Stadt;5,7
53740020020;Lindlar;6,29
53740024024;Marienheide;5,57
53740028028;Morsbach;5,31
53740032032;Nümbrecht;5,81
53740036036;Radevormwald, Stadt auf der Höhe;5,88
53740040040;Reichshof;5,39
53740044044;Waldbröl, Stadt;5,62
53740048048;Wiehl, Stadt;6,01
53740052052;Wipperfürth, Hansestadt;5,93
53780004004;Bergisch Gladbach, Stadt;8,12
53780008008;Burscheid, Stadt;6,64
53780012012;Kürten;6,81
53780016016;Leichlingen (Rheinland), Blütenstadt;7,08
53780020020;Odenthal;7,47
53780024024;Overath, Stadt;7,06
53780028028;Rösrath, Stadt;7,76
53780032032;Wermelskirchen, Stadt;6,36
53820004004;Alfter;7,8
53820008008;Bad Honnef, Stadt;7,87
53820012012;Bornheim, Stadt;7,69
53820016016;Eitorf;5,96
53820020020;Hennef (Sieg), Stadt;7,22
53820024024;Königswinter, Stadt;7,46
53820028028;Lohmar, Stadt;7,21
53820032032;Meckenheim, Stadt;7,26
53820036036;Much;6,25
53820040040;Neunkirchen-Seelscheid;6,84
53820044044;Niederkassel, Stadt;7,56
53820048048;Rheinbach, Stadt;7,31
53820052052;Ruppichteroth;5,93
53820056056;Sankt Augustin, Stadt;7,41
53820060060;Siegburg, Stadt;7,6
53820064064;Swisttal;6,56
53820068068;Troisdorf, Stadt;7,01
53820072072;Wachtberg;7,25
53820076076;Windeck;5,41
55120000000;Bottrop, Stadt;6,1
55130000000;Gelsenkirchen, Stadt;5,47
55150000000;Münster, Stadt;8,71
55540004004;Ahaus, Stadt;6,24
55540008008;Bocholt, Stadt;6,57
55540012012;Borken, Stadt;6,25
55540016016;Gescher, Glockenstadt;5,73
55540020020;Gronau (Westf.), Stadt;6,38
55540024024;Heek;5,72
55540028028;Heiden;5,86
55540032032;Isselburg, Stadt;5,92
55540036036;Legden;5,72
55540040040;Raesfeld;6,14
55540044044;Reken;5,89
55540048048;Rhede, Stadt;6,67
55540052052;Schöppingen;5,94
55540056056;Stadtlohn, Stadt;6,21
55540060060;Südlohn;5,93
55540064064;Velen, Stadt;5,67
55540068068;Vreden, Stadt;6,11
55580004004;Ascheberg;5,9
55580008008;Billerbeck, Stadt;6,22
55580012012;Coesfeld, Stadt;6,29
55580016016;Dülmen, Stadt;6,05
55580020020;Havixbeck;6,74
55580024024;Lüdinghausen, Stadt;6,16
55580028028;Nordkirchen;5,98
55580032032;Nottuln;6,42
55580036036;Olfen, Stadt;6,32
55580040040;Rosendahl;5,91
55580044044;Senden;6,42
55620004004;Castrop-Rauxel, Stadt;5,92
55620008008;Datteln, Stadt;5,66
55620012012;Dorsten, Stadt;5,81
55620014014;Gladbeck, Stadt;5,74
55620016016;Haltern am See, Stadt;6,64
55620020020;Herten, Stadt;5,71
55620024024;Marl, Stadt;6,09
55620028028;Oer-Erkenschwick, Stadt;5,6
55620032032;Recklinghausen, Stadt;5,85
55620036036;Waltrop, Stadt;5,95
55660004004;Altenberge;6,56
55660008008;Emsdetten, Stadt;6,09
55660012012;Greven, Stadt;6,47
55660016016;Hörstel, Stadt;5,5
55660020020;Hopsten;5,23
55660024024;Horstmar, Stadt der Burgmannshöfe;5,56
55660028028;Ibbenbüren, Stadt;5,88
55660032032;Ladbergen;5,83
55660036036;Laer;5,95
55660040040;Lengerich, Stadt;5,59
55660044044;Lienen;5,44
55660048048;Lotte;5,85
55660052052;Metelen;5,37
55660056056;Mettingen;5,74
55660060060;Neuenkirchen (Kreis Steinfurt);5,94
55660064064;Nordwalde;6,3
55660068068;Ochtrup, Stadt;5,7
55660072072;Recke;5,26
55660076076;Rheine, Stadt;5,97
55660080080;Saerbeck, NRW-Klimakommune;6,06
55660084084;Steinfurt, Stadt;6,33
55660088088;Tecklenburg, Stadt;5,46
55660092092;Westerkappeln;5,73
55660096096;Wettringen (Kreis Steinfurt);5,75
55700004004;Ahlen, Stadt;5,77
55700008008;Beckum, Stadt;5,64
55700012012;Beelen;5,54
55700016016;Drensteinfurt, Stadt;6,24
55700020020;Ennigerloh, Stadt;5,45
55700024024;Everswinkel;6,26
55700028028;Oelde, Stadt;5,59
55700032032;Ostbevern;6,42
55700036036;Sassenberg, Stadt;6,05
55700040040;Sendenhorst, Stadt;5,99
55700044044;Telgte, Stadt;6,83
55700048048;Wadersloh;5,54
55700052052;Warendorf, Stadt;6,21
57110000000;Bielefeld, Stadt;7,12
57540004004;Borgholzhausen, Stadt;5,45
57540008008;Gütersloh, Stadt;6,47
57540012012;Halle (Westf.), Stadt;5,91
57540016016;Harsewinkel, Die Mähdrescherstadt;5,93
57540020020;Herzebrock-Clarholz;6,03
57540024024;Langenberg;5,95
57540028028;Rheda-Wiedenbrück, Stadt;6,57
57540032032;Rietberg, Stadt;6,12
57540036036;Schloß Holte-Stukenbrock, Stadt;6,09
57540040040;Steinhagen (Kreis Gütersloh);5,89
57540044044;Verl, Stadt;6,34
57540048048;Versmold, Stadt;5,62
57540052052;Werther (Westf.), Stadt;5,89
57580004004;Bünde, Stadt;5,67
57580008008;Enger, Widukindstadt;5,42
57580012012;Herford, Hansestadt;5,78
57580016016;Hiddenhausen;5,31
57580020020;Kirchlengern;5,19
57580024024;Löhne, Stadt;5,41
57580028028;Rödinghausen;5,15
57580032032;Spenge, Stadt;5,41
57580036036;Vlotho, Stadt;4,93
57620004004;Bad Driburg, Stadt;5,02
57620008008;Beverungen, Stadt;4,29
57620012012;Borgentreich, Orgelstadt;3,98
57620016016;Brakel, Stadt;4,71
57620020020;Höxter, Stadt;4,86
57620024024;Marienmünster, Stadt;4,29
57620028028;Nieheim, Stadt;4,28
57620032032;Steinheim, Stadt;4,77
57620036036;Warburg, Hansestadt;4,97
57620040040;Willebadessen, Stadt;4,46
57660004004;Augustdorf;5,38
57660008008;Bad Salzuflen, Stadt;5,93
57660012012;Barntrup, Stadt;4,62
57660016016;Blomberg, Stadt;4,96
57660020020;Detmold, Stadt;6,09
57660024024;Dörentrup;4,6
57660028028;Extertal;4,39
57660032032;Horn-Bad Meinberg, Stadt;5,68
57660036036;Kalletal;4,7
57660040040;Lage, Stadt;5,32
57660044044;Lemgo, Stadt;5,94
57660048048;Leopoldshöhe;5,99
57660052052;Lügde, Stadt der Osterräder;4,47
57660056056;Oerlinghausen, Stadt;5,96
57660060060;Schieder-Schwalenberg, Stadt;4,52
57660064064;Schlangen;5,19
57700004004;Bad Oeynhausen, Stadt;5,98
57700008008;Espelkamp, Stadt;5,3
57700012012;Hille;4,96
57700016016;Hüllhorst;5,22
57700020020;Lübbecke, Stadt;5,57
57700024024;Minden, Stadt;6,14
57700028028;Petershagen, Stadt;5,14
57700032032;Porta Westfalica, Stadt;5,54
57700036036;Preußisch Oldendorf, Stadt;5,36
57700040040;Rahden, Stadt;5,49
57700044044;Stemwede;4,97
57740004004;Altenbeken;4,84
57740008008;Bad Lippspringe, Stadt;6,15
57740012012;Borchen;5,49
57740016016;Büren, Stadt;4,68
57740020020;Delbrück, Stadt;5,77
57740024024;Hövelhof, Sennegemeinde;5,7
57740028028;Lichtenau, Stadt (Kreis Paderborn);4,67
57740032032;Paderborn, Stadt;6,69
57740036036;Salzkotten, Stadt;5,59
57740040040;Bad Wünnenberg, Stadt;4,72
59110000000;Bochum, Stadt;6,25
59130000000;Dortmund, Stadt;6,45
59140000000;Hagen, Stadt der FernUniversität;5,39
59150000000;Hamm, Stadt;5,75
59160000000;Herne, Stadt;5,71
59540004004;Breckerfeld, Hansestadt;5,8
59540008008;Ennepetal, Stadt der Kluterthöhle;5,61
59540012012;Gevelsberg, Stadt;5,73
59540016016;Hattingen, Stadt;6,22
59540020020;Herdecke, Stadt;6,16
59540024024;Schwelm, Stadt;5,75
59540028028;Sprockhövel, Stadt;6,35
59540032032;Wetter (Ruhr), Stadt;5,78
59540036036;Witten, Stadt;5,88
59580004004;Arnsberg, Stadt;5,31
59580008008;Bestwig;4,72
59580012012;Brilon, Stadt;5,19
59580016016;Eslohe (Sauerland);4,87
59580020020;Hallenberg, Stadt;4,47
59580024024;Marsberg, Stadt;4,88
59580028028;Medebach, Hansestadt;4,52
59580032032;Meschede, Kreis- und  Hochschulstadt;5,05
59580036036;Olsberg, Stadt;5,23
59580040040;Schmallenberg, Stadt;5,22
59580044044;Sundern (Sauerland), Stadt;5,07
59580048048;Winterberg, Stadt;5,57
59620004004;Altena, Stadt;4,66
59620008008;Balve, Stadt;5,16
59620012012;Halver, Stadt;5,68
59620016016;Hemer, Stadt;5,59
59620020020;Herscheid;5,19
59620024024;Iserlohn, Stadt;5,69
59620028028;Kierspe, Stadt;5,29
59620032032;Lüdenscheid, Stadt;5,72
59620036036;Meinerzhagen, Stadt;5,55
59620040040;Menden (Sauerland), Stadt;5,63
59620044044;Nachrodt-Wiblingwerde;4,96
59620048048;Neuenrade, Stadt;5,3
59620052052;Plettenberg, Stadt;5
59620056056;Schalksmühle;5,32
59620060060;Werdohl, Stadt;4,91
59660004004;Attendorn, Hansestadt;6,17
59660008008;Drolshagen, Stadt;5,68
59660012012;Finnentrop;5,15
59660016016;Kirchhundem;4,94
59660020020;Lennestadt, Stadt;5,35
59660024024;Olpe, Stadt;6,32
59660028028;Wenden;5,69
59700004004;Bad Berleburg, Stadt;5,51
59700008008;Burbach (Kreis Siegen-Wittgenstein);5,69
59700012012;Erndtebrück;5,17
59700016016;Freudenberg, Stadt (Kreis Siegen-Wittgenstein);6,27
59700020020;Hilchenbach, Stadt;5,67
59700024024;Kreuztal, Stadt;5,92
59700028028;Bad Laasphe, Stadt;5,47
59700032032;Netphen, Stadt;6,14
59700036036;Neunkirchen (Kreis Siegen-Wittgenstein);5,55
59700040040;Siegen, Universitätsstadt;6,62
59700044044;Wilnsdorf;6,11
59740004004;Anröchte;5,1
59740008008;Bad Sassendorf;6,33
59740012012;Ense;5,47
59740016016;Erwitte, Stadt;5,49
59740020020;Geseke, Stadt;5,44
59740024024;Lippetal;5,41
59740028028;Lippstadt, Stadt;5,98
59740032032;Möhnesee;5,98
59740036036;Rüthen, Stadt;4,72
59740040040;Soest, Stadt;6,09
59740044044;Warstein, Stadt;4,87
59740048048;Welver;5,22
59740052052;Werl, Stadt;5,7
59740056056;Wickede (Ruhr);5,53
59780004004;Bergkamen, Stadt;5,44
59780008008;Bönen;5,49
59780012012;Fröndenberg/Ruhr, Stadt;5,41
59780016016;Holzwickede;5,87
59780020020;Kamen, Stadt;5,76
59780024024;Lünen, Stadt;5,67
59780028028;Schwerte, Hansestadt an der Ruhr;5,81
59780032032;Selm, Stadt;5,84
59780036036;Unna, Stadt;5,99
59780040040;Werne, Stadt;5,94
64110000000;Darmstadt, Wissenschaftsstadt;9,56
64120000000;Frankfurt am Main, Stadt;10,58
64130000000;Offenbach am Main, Stadt;8,76
64140000000;Wiesbaden, Landeshauptstadt;9,21
64310001001;Abtsteinach;6,32
64310002002;Bensheim, Stadt;8,22
64310003003;Biblis;6,36
64310004004;Birkenau;6,08
64310005005;Bürstadt, Stadt;6,82
64310006006;Einhausen (Landkreis Bergstraße);7,4
64310007007;Fürth (Landkreis Bergstraße);6,02
64310008008;Gorxheimertal;6,14
64310009009;Grasellenbach;5,58
64310010010;Groß-Rohrheim;6,37
64310011011;Heppenheim (Bergstraße), Kreisstadt;8,11
64310012012;Hirschhorn (Neckar), Stadt;6,19
64310013013;Lampertheim, Stadt;6,77
64310014014;Lautertal (Odenwald);6,4
64310015015;Lindenfels, Stadt;5,95
64310016016;Lorsch, Karolingerstadt;7,61
64310017017;Mörlenbach;6,27
64310018018;Neckarsteinach, Stadt;6,59
64310019019;Rimbach (Landkreis Bergstraße);6,11
64310020020;Viernheim, Stadt;7,09
64310021021;Wald-Michelbach;5,57
64310022022;Zwingenberg, Stadt;8,04
64320001001;Alsbach-Hähnlein;8,04
64320002002;Babenhausen, Stadt;7,02
64320003003;Bickenbach (Landkreis Darmstadt-Dieburg);8,45
64320004004;Dieburg, Stadt;8,81
64320005005;Eppertshausen;7,6
64320006006;Erzhausen;8,25
64320007007;Fischbachtal;6,9
64320008008;Griesheim, Stadt;8,86
64320009009;Groß-Bieberau, Stadt;7,17
64320010010;Groß-Umstadt, Stadt;7,31
64320011011;Groß-Zimmern;8
64320012012;Messel;7,87
64320013013;Modautal;7
64320014014;Mühltal;8,19
64320015015;Münster (Landkreis Darmstadt-Dieburg);7,59
64320016016;Ober-Ramstadt, Stadt;7,49
64320017017;Otzberg;6,64
64320018018;Pfungstadt, Stadt;7,87
64320019019;Reinheim, Stadt;7,33
64320020020;Roßdorf (Landkreis Darmstadt-Dieburg);8,45
64320021021;Schaafheim;6,89
64320022022;Seeheim-Jugenheim;8,61
64320023023;Weiterstadt, Stadt;8,08
64330001001;Biebesheim am Rhein;7,25
64330002002;Bischofsheim;8,03
64330003003;Büttelborn;8,07
64330004004;Gernsheim, Schöfferstadt;7,36
64330005005;Ginsheim-Gustavsburg, Stadt;7,54
64330006006;Groß-Gerau, Stadt;8,47
64330007007;Kelsterbach, Stadt;9,62
64330008008;Mörfelden-Walldorf, Stadt;8,98
64330009009;Nauheim;8,26
64330010010;Raunheim, Stadt;8,78
64330011011;Riedstadt, Büchnerstadt;7,86
64330012012;Rüsselsheim am Main, Stadt;8,12
64330013013;Stockstadt am Rhein;7,19
64330014014;Trebur;7,79
64340001001;Bad Homburg v. d. Höhe, Stadt;9,95
64340002002;Friedrichsdorf, Stadt;9,25
64340003003;Glashütten (Landkreis Hochtaunuskreis);7,92
64340004004;Grävenwiesbach;6,13
64340005005;Königstein im Taunus, Stadt;10,07
64340006006;Kronberg im Taunus, Stadt;9,13
64340007007;Neu-Anspach, Stadt;7,98
64340008008;Oberursel (Taunus), Stadt;9,81
64340009009;Schmitten im Taunus;7,17
64340010010;Steinbach (Taunus), Stadt;7,79
64340011011;Usingen, Stadt;7,58
64340012012;Wehrheim;8,04
64340013013;Weilrod;6,51
64350001001;Bad Orb, Stadt;6,84
64350002002;Bad Soden-Salmünster, Stadt;6,26
64350003003;Biebergemünd;6,33
64350004004;Birstein;5,16
64350005005;Brachttal;5,53
64350006006;Bruchköbel, Stadt;7,38
64350007007;Erlensee, Stadt;7,45
64350008008;Flörsbachtal;5,08
64350009009;Freigericht;6,49
64350010010;Gelnhausen, Barbarossast., Krst.;7,56
64350011011;Großkrotzenburg;7,52
64350012012;Gründau;6,88
64350013013;Hammersbach;6,59
64350014014;Hanau, Brüder-Grimm-Stadt;7,82
64350015015;Hasselroth;6,59
64350016016;Jossgrund;5,14
64350017017;Langenselbold, Stadt;7,28
64350018018;Linsengericht;6,73
64350019019;Maintal, Stadt;8,12
64350020020;Neuberg;7,06
64350021021;Nidderau, Stadt;7,24
64350022022;Niederdorfelden;7,16
64350023023;Rodenbach (Landkreis Main-Kinzig-Kreis);7,14
64350024024;Ronneburg;6,45
64350025025;Schlüchtern, Stadt;5,77
64350026026;Schöneck;7,4
64350027027;Sinntal;4,77
64350028028;Steinau an der Straße, Brüder-Grimm-Stadt;5,47
64350029029;Wächtersbach, Stadt;6,16
64360001001;Bad Soden am Taunus, Stadt;10,22
64360002002;Eppstein, Stadt;8,73
64360003003;Eschborn, Stadt;10,14
64360004004;Flörsheim am Main, Stadt;8,55
64360005005;Hattersheim am Main, Stadt;8,75
64360006006;Hochheim am Main, Stadt;8,61
64360007007;Hofheim am Taunus, Kreisstadt;9,03
64360008008;Kelkheim (Taunus), Stadt;9,35
64360009009;Kriftel;9,36
64360010010;Liederbach am Taunus;9,82
64360011011;Schwalbach am Taunus, Stadt;8,79
64360012012;Sulzbach (Taunus);9,81
64370001001;Bad König, Stadt;6,84
64370003003;Brensbach;6,1
64370004004;Breuberg, Stadt;6
64370005005;Brombachtal;5,48
64370006006;Erbach, Kreisstadt;6,49
64370007007;Fränkisch-Crumbach;6,08
64370009009;Höchst i. Odw.;6,3
64370010010;Lützelbach;5,61
64370011011;Michelstadt, Stadt;6,46
64370012012;Mossautal;5,34
64370013013;Reichelsheim (Odenwald);5,99
64370016016;Oberzent, Stadt;5,19
64380001001;Dietzenbach, Kreisstadt;8,45
64380002002;Dreieich, Stadt;8,75
64380003003;Egelsbach;8,78
64380004004;Hainburg;7,04
64380005005;Heusenstamm, Stadt;8,81
64380006006;Langen (Hessen), Stadt;8,83
64380007007;Mainhausen;7,59
64380008008;Mühlheim am Main, Stadt;8,3
64380009009;Neu-Isenburg, Stadt;9,48
64380010010;Obertshausen, Stadt;8,18
64380011011;Rodgau, Stadt;8,34
64380012012;Rödermark, Stadt;8,53
64380013013;Seligenstadt, Einhardstadt;7,92
64390001001;Aarbergen;5,71
64390002002;Bad Schwalbach, Kreisstadt;7,32
64390003003;Eltville am Rhein, Stadt;8,58
64390004004;Geisenheim, Hochschulstadt;7,69
64390005005;Heidenrod;5,96
64390006006;Hohenstein (Landkreis Rheingau-Taunus-Kreis);5,94
64390007007;Hünstetten;6,72
64390008008;Idstein, Hochschulstadt;7,84
64390009009;Kiedrich;8,17
64390010010;Lorch, Stadt (Landkreis Rheingau-Taunus-Kreis);5,75
64390011011;Niedernhausen;8,31
64390012012;Oestrich-Winkel, Stadt;8,19
64390013013;Rüdesheim am Rhein, Stadt;7,5
64390014014;Schlangenbad;7,92
64390015015;Taunusstein, Stadt;7,82
64390016016;Waldems;6,65
64390017017;Walluf;8,38
64400001001;Altenstadt (Landkreis Wetteraukreis);6,74
64400002002;Bad Nauheim, Stadt;8,22
64400003003;Bad Vilbel, Stadt;9,77
64400004004;Büdingen, Stadt;6,64
64400005005;Butzbach, Friedrich-Ludwig-Weidig-Stadt;7,2
64400006006;Echzell;6,22
64400007007;Florstadt, Stadt;6,37
64400008008;Friedberg (Hessen), Kreisstadt;7,93
64400009009;Gedern, Stadt;5,4
64400010010;Glauburg;6,03
64400011011;Hirzenhain;5,7
64400012012;Karben, Stadt;8,67
64400013013;Kefenrod;4,91
64400014014;Limeshain;6,25
64400015015;Münzenberg, Stadt;6,66
64400016016;Nidda, Stadt;6,04
64400017017;Niddatal, Stadt;7,11
64400018018;Ober-Mörlen;6,95
64400019019;Ortenberg, Stadt;5,51
64400020020;Ranstadt;6,27
64400021021;Reichelsheim (Wetterau), Stadt;6,47
64400022022;Rockenberg;6,25
64400023023;Rosbach v. d. Höhe, Stadt;8,36
64400024024;Wölfersheim;6,19
64400025025;Wöllstadt;7,48
65310001001;Allendorf (Lumda), Stadt;5,45
65310002002;Biebertal;6,36
65310003003;Buseck;6,5
65310004004;Fernwald;6,72
65310005005;Gießen, Universitätsstadt;8,18
65310006006;Grünberg, Stadt;5,74
65310007007;Heuchelheim a. d. Lahn;7,39
65310008008;Hungen, Stadt;5,73
65310009009;Langgöns;6,39
65310010010;Laubach, Stadt;5,5
65310011011;Lich, Stadt;6,87
65310012012;Linden, Stadt;7,8
65310013013;Lollar, Stadt;6,39
65310014014;Pohlheim, Stadt;6,88
65310015015;Rabenau;5,22
65310016016;Reiskirchen;6,05
65310017017;Staufenberg, Stadt;6,56
65310018018;Wettenberg;7,02
65320001001;Aßlar, Stadt;6,3
65320002002;Bischoffen;5,48
65320003003;Braunfels, Stadt;6,31
65320004004;Breitscheid (Landkreis Lahn-Dill-Kreis);4,87
